Title,Description,URL
"De volta a Marechal, rondonense conta com apoio da família para superar sequelas do acidente","“Que Deus ilumine as famílias que perderam seu filho no incêndio”, a mensagem, acompanhada da hashtag #luto, foi publicada pelo volante rondonense Naydjel Callebe, de 14...",https://www.opresente.com.br/marechal-candido-rondon/de-volta-a-marechal-rondonense-conta-com-apoio-da-familia-para-superar-sequelas-do-acidente/
Duas pessoas morrem em violento acidente no portal de Marechal Rondon,"O rondonense Mayk Bruno Toledo Teles, 25 anos, e a guairense Pamela Zafalon, 19 anos, faleceram devido a um grave acidente de trânsito registrado por...",https://www.opresente.com.br/geral/duas-pessoas-morrem-em-violento-acidente-no-portal-de-marechal-rondon/
Polícia Rodoviária atende acidente no trajeto Porto Mendes a Bom Jardim,"Policiais rodoviários estaduais do posto de Marechal Cândido Rondon atenderam, às 15h30 de quarta-feira (06), um acidente de trânsito sem vítimas registrado no km 6...",https://www.opresente.com.br/marechal-candido-rondon/policia-rodoviaria-atende-acidente-no-trajeto-porto-mendes-a-bom-jardim/
Risco de acidentes com animais peçonhentos aumenta no verão,O calor chegou com tudo e desde o início do verão os termômetros continuam emplacando temperaturas recordes em Marechal Cândido Rondon e região. A estação...,https://www.opresente.com.br/marechal-candido-rondon/risco-de-acidentes-com-animais-peconhentos-aumenta-no-verao/
Rondonense ferido em acidente segue internado; condutor da Parati deve se apresentar hoje na delegacia,"Segue internado na Unidade Semi Intensiva do Hospital Rondon, em Marechal Cândido Rondon, o soldador rondonense Marciandro dos Santos, conhecido como “Zorba”, de 38 anos. Ele...",https://www.opresente.com.br/marechal-candido-rondon/rondonense-ferido-em-acidente-segue-internado-condutor-da-parati-deve-se-apresentar-hoje-na-delegacia/
"Identificado homem acusado de furar preferencial, causar grave acidente e fugir sem prestar socorro à vítima","O motorista do automóvel VW/Parati, de cor prata, acusado de cortar a preferencial da Rua Santa Catarina, no cruzamento com a Rua Amir Dalla Vecchia,...",https://www.opresente.com.br/marechal-candido-rondon/identificado-homem-acusado-de-furar-preferencial-causar-grave-acidente-e-fugir-sem-prestar-socorro-a-vitima/
"Carro atravessa preferencial, causa acidente e condutor foge sem prestar socorro; vítima está gravemente ferida",O condutor de um veículo atravessou a preferencial na esquina das ruas Santa Catarina e Amir Dalla Vecchia e causou acidente de trânsito no qual...,https://www.opresente.com.br/marechal-candido-rondon/carro-atravessa-preferencial-causa-acidente-e-condutor-foge-sem-prestar-socorro-vitima-esta-gravemente-ferida/
Rondonense vítima de grave acidente falece no hospital,"O rondonense Valtezir Marques, de 47 anos, faleceu na noite de quinta-feira (24) no Hospital Bom Jesus, na cidade de Toledo. Ele foi vítima de...",https://www.opresente.com.br/marechal-candido-rondon/rondonense-vitima-de-grave-acidente-falece-no-hospital/
Acidentes diminuíram 46% nos últimos dez anos em Marechal Rondon,"O trânsito de Marechal Cândido Rondon está se tornando, a cada ano, mais seguro. Seja pela atuação da Polícia Militar, tanto pela equipe da 2ª...",https://www.opresente.com.br/municipios/acidentes-diminuiram-46-nos-ultimos-dez-anos-em-marechal-rondon/
Motociclista é encaminhado à UPA após grave acidente perto do aeroporto rondonense,"O condutor de uma motocicleta Yamaha/MT, com placa de Quatro Pontes, foi encaminhado à Unidade de Pronto Atendimento (UPA) de Marechal Cândido Rondon depois do...",https://www.opresente.com.br/marechal-candido-rondon/motociclista-e-encaminhado-a-upa-apos-grave-acidente-perto-do-aeroporto-rondonense/
Acidentes com motocicletas lideram atendimentos do Corpo de Bombeiros,"Antes de entrar no carro para ir ao trabalho, faculdade, viagens ou qualquer outro compromisso, saiba que sua vida corre risco. Não se trata de...",https://www.opresente.com.br/marechal-candido-rondon/acidentes-com-motocicletas-lideram-atendimentos-do-corpo-de-bombeiros/
Acidente é registrado na esquina do Sesc,"Um acidente de trânsito foi registrado por volta das 19h45 desta terça-feira (1°) no cruzamento das ruas Ceará e 12 de Outubro, nas proximidades do...",https://www.opresente.com.br/marechal-candido-rondon/acidente-e-registrado-na-esquina-do-sesc/
Carro com placas de Marechal Rondon se envolve em acidente com seis feridos,"Um automóvel GM/Corsa, com placas de Marechal Cândido Rondon, se envolveu em um acidente de trânsito que resultou no total de seis pessoas feridas. A...",https://www.opresente.com.br/geral/carro-com-placas-de-marechal-rondon-se-envolve-em-acidente-com-seis-feridos/
"Posto rondonense da PRE registra menos acidentes durante o feriado, mas número de feridos aumenta","O comando da Polícia Rodoviária Estadual (PRE) de Marechal Cândido Rondon registrou redução no número de acidentes e vítimas durante a Operação Natal, que aconteceu...",https://www.opresente.com.br/marechal-candido-rondon/posto-rondonense-da-pre-registra-menos-acidentes-durante-o-feriado-mas-numero-de-feridos-aumenta/
Ferido em acidente entre Marechal Rondon e Curvado é encaminhado à UPA,"Foi encaminhado à Unidade de Pronto Atendimento (UPA) de Marechal Cândido Rondon o homem de 37 anos que se envolveu, às 07h15 desta quarta-feira (12), no...",https://www.opresente.com.br/geral/ferido-em-acidente-entre-marechal-rondon-e-curvado-e-encaminhado-a-upa/
Cruzamento da Rio Grande do Sul com Mem de Sá é o ponto com maior nº de acidentes com vítimas na sede rondonense,"Com população estimada em 52 mil habitantes e frota composta por 42.278 veículos, Marechal Cândido Rondon é considerada uma das cidades com maior quantidade de veículos...",https://www.opresente.com.br/marechal-candido-rondon/cruzamento-da-rio-grande-do-sul-com-mem-de-sa-e-ponto-com-maior-numero-de-acidentes-com-vitimas-na-sede-rondonense/
Polícia Rodoviária atende acidente no trajeto Curvado a Marechal Rondon,"A equipe da Polícia Rodoviária Estadual (PRE), posto de Marechal Cândido Rondon, atendeu um acidente de trânsito registrado no km 25 da PRC-467, no trajeto Curvado...",https://www.opresente.com.br/marechal-candido-rondon/policia-rodoviaria-atende-acidente-no-trajeto-curvado-a-marechal-rondon/
Motociclista é levado à UPA após acidente no trecho Curvado a Marechal Rondon,"O piloto da motocicleta Honda/Twister, com placa de Entre Rios do Oeste, foi encaminhada à Unidade de Pronto Atendimento (UPA) Edgar Netzel, após se envolver em...",https://www.opresente.com.br/geral/motociclista-e-levado-a-upa-apos-acidente-no-trecho-curvado-a-marechal-rondon/
Copel faz campanha de prevenção de acidentes; Marechal Rondon tem programação,Voluntários da Copel em todo o Paraná vão às ruas nesta semana para disseminar orientações sobre o uso seguro da energia elétrica. A 12ª Semana...,https://www.opresente.com.br/marechal-candido-rondon/copel-faz-campanha-de-prevencao-de-acidentes-marechal-rondon-tem-programacao/
Rondonenses morrem em violento acidente na cidade de Cascavel,"Mãe e filho  moradores de Marechal Cândido Rondon foram  vítimas fatais de um grave acidente registrado na noite de quinta-feira (25), no Trevo Cataratas, em Cascavel....",https://www.opresente.com.br/marechal-candido-rondon/rondonenses-morrem-em-violento-acidente-na-cidade-de-cascavel/
Acidente no semáforo do centro rondonense deixa veículos com estragos de grande monta,Uma colisão envolvendo uma picape GM/Montana e uma caminhonete VW/Amarok deixou estragos de grande monta em ambos os veículos no fim da manhã desta quinta-feira (13)....,https://www.opresente.com.br/marechal-candido-rondon/acidente-no-semaforo-do-centro-rondonense-deixa-veiculos-com-estragos-de-grande-monta/
Diretor de colégio rondonense fica gravemente ferido em acidente,"O diretor do Colégio Estadual Frentino Sackser, de Marechal Cândido Rondon, Leocir Lang, resultou com ferimentos graves após o carro em que conduzia, um Meriva, colidir...",https://www.opresente.com.br/marechal-candido-rondon/diretor-de-colegio-rondonense-fica-gravemente-ferido-em-acidente/
Irmãs com familiares em Marechal Rondon morrem em acidente no Paraguai,"Um grave acidente registrado na manhã desta terça-feira (14) tirou a vida de duas irmãs no distrito de Raul Peña, no Paraguai. Elas tinham nove e...",https://www.opresente.com.br/geral/irmas-com-familiares-em-marechal-rondon-morrem-em-acidente-no-paraguai/
Acidente no centro de Marechal Rondon deixa motociclista com ferimentos generalizados,"A condutora de uma motocicleta Honda/CB 300 resultou com ferimentos generalizados em virtude de um acidente de trânsito registrado na manhã desta terça-feira (31), no cruzamento...",https://www.opresente.com.br/geral/acidente-no-centro-de-marechal-rondon-deixa-motociclista-com-ferimentos-generalizados/
Corpo de empresário vítima de acidente será sepultado hoje em Marechal Rondon,"O corpo do empresário Daniel Antunes de Lima, de 39 anos, está sendo velado no Ginásio da Vila Gaúcha, em Marechal Cândido Rondon. Para as 16...",https://www.opresente.com.br/marechal-candido-rondon/corpo-de-empresario-vitima-de-acidente-sera-sepultado-hoje-em-marechal-rondon/
Empresário rondonense morre vítima de acidente de motocicleta em Novo Sarandi,"O empresário rondonense Daniel Antunes de Lima, de 39 anos, faleceu em virtude dos graves ferimentos causados por um acidente de trânsito sofrido na tarde deste...",https://www.opresente.com.br/marechal-candido-rondon/empresario-rondonense-morre-vitima-de-acidente-de-motocicleta-em-novo-sarandi/
Acidente resulta em mulher presa acusada de embriaguez ao volante em Marechal Rondon,"Policiais militares de Marechal Cândido Rondon compareceram ao cruzamento da Avenida Rio Grande do Sul com a Rua Tiradentes, região central da cidade, para atender um...",https://www.opresente.com.br/policial/acidente-resulta-em-mulher-presa-acusada-de-embriaguez-ao-volante-em-marechal-rondon/
Motociclista fica ferido em acidente com veículo em Iguiporã,Um motociclista resultou com ferimentos e foi encaminhado pelo Siate do Corpo de Bombeiros de Marechal Cândido Rondon para atendimento médico após um acidente registrado na...,https://www.opresente.com.br/marechal-candido-rondon/motociclista-fica-ferido-em-acidente-com-veiculo-em-iguipora/
Acidente entre veículo e motocicleta deixa jovem ferida em Marechal Rondon,"Um jovem de 19 anos ficou ferida em um acidente registrado no cruzamento da Rua Porto Alegre com a Avenida Irio Jacob Welp, na tarde desta...",https://www.opresente.com.br/marechal-candido-rondon/acidente-entre-veiculo-e-motocicleta-deixa-jovem-ferida-em-marechal-rondon/
Quatro acidentes movimentam o setor de trânsito em Marechal Rondon,Socorristas do Siate – do Corpo de Bombeiros – e policiais militares tiveram bastante trabalho para atender quatro acidentes de trânsito registrados entre o fim da...,https://www.opresente.com.br/marechal-candido-rondon/quatro-acidentes-movimentam-o-setor-de-transito-em-marechal-rondon/
Criminosos roubam veículo em Marechal Rondon e se envolvem em acidente durante fuga,O setor policial de Marechal Cândido Rondon e de municípios vizinhos estão mobilizados desde o início da noite deste domingo (10) após um assalto à mão...,https://www.opresente.com.br/policial/criminosos-roubam-veiculo-em-marechal-rondon-e-se-envolvem-em-acidente-durante-fuga/
Motociclista de 25 anos fica ferido em acidente na PRC-467 entre Rondon e Porto Mendes,"Um jovem de 25 anos ficou ferido em um acidente registrado na PRC-467, entre Marechal Cândido Rondon e o distrito de Porto Mendes, na manhã deste...",https://www.opresente.com.br/marechal-candido-rondon/motociclista-de-25-anos-fica-ferido-em-acidente-na-prc-467-entre-rondon-e-porto-mendes/
Motorista fica preso às ferragens após acidente em Marechal Rondon,"Um homem ficou preso às ferragens após o veículo que conduzia se envolver em um acidente no cruzamento das ruas Santa Catarina e 12 de Outubro,...",https://www.opresente.com.br/marechal-candido-rondon/motorista-fica-preso-as-ferragens-apos-acidente-em-marechal-rondon/
Número de acidentes de trânsito cai 12% nos primeiros cinco meses em Marechal Rondon,"Motocicletas lideram as estatísticas, com 124 ocorrências. Segundo a PM, excesso de velocidade é um dos principais fatores de risco no trânsito rondonense",https://www.opresente.com.br/marechal-candido-rondon/numero-de-acidentes-de-transito-cai-12-nos-primeiros-cinco-meses-em-marechal-rondon/
Copagril inicia Semana Interna de Prevenção de Acidentes de Trabalho,"A Cooperativa Agroindustrial Copagril, em conjunto com suas 10 Comissões Internas de Prevenção de Acidentes (Cipas), iniciou na segunda-feira (21) a Semana Interna de Prevenção de...",https://www.opresente.com.br/marechal-candido-rondon/copagril-inicia-semana-interna-de-prevencao-de-acidentes-de-trabalho/
Marechal Rondon tem mais mortes por acidentes do que por homicídios,"Representantes da Polícia Militar e do Corpo de Bombeiros apresentaram na última sexta-feira (27), durante reunião do Conselho Executivo de Trânsito (Coetran) de Marechal Cândido Rondon,...",https://www.opresente.com.br/marechal-candido-rondon/marechal-rondon-tem-mais-mortes-por-acidentes-do-que-por-homicidios/
Rondonense morto em acidente será sepultado em São Cristóvão,"O Presente   O corpo do rondonense Albino Lupke, de 56 anos, será sepultado por volta das 08h30 deste sábado (28), no cemitério de São Cristóvão,...",https://www.opresente.com.br/marechal-candido-rondon/rondonense-morto-em-acidente-sera-sepultado-em-sao-cristovao/
"Acidente na PRC-467, entre Rondon e Curvado, deixa duas pessoas feridas","Duas pessoas ficaram feridas após o veículo em que estavam colidir contra um barranco na PRC-467, entre Marechal Cândido Rondon e o distrito de Curvado. O...",https://www.opresente.com.br/marechal-candido-rondon/acidente-na-prc-467-entre-rondon-e-curvado-deixa-duas-pessoas-feridas/
Acidente envolvendo dois veículos é registrado na Avenida Írio Welp,"Um acidente de trânsito envolvendo dois veículos, um Idea e um Gol, foi registrado por volta das 14h40 desta segunda-feira (19), na Avenida Írio Jacob Welp,...",https://www.opresente.com.br/marechal-candido-rondon/acidente-envolvendo-dois-veiculos-e-registrado-na-avenida-irio-welp/
Dois veículos se envolvem em acidente na Avenida Maripá,"Mais um acidente de trânsito foi registrado no fim da tarde desta sexta-feira (02), desta vez no cruzamento da Avenida Maripá com a ruas Maceió e...",https://www.opresente.com.br/marechal-candido-rondon/dois-veiculos-se-envolvem-em-acidente-na-avenida-maripa/
Acidente deixa motociclista ferida no centro de Marechal Rondon,"Uma motociclista ficou ferida em uma colisão com um automóvel na manhã desta terça-feira (27) no cruzamento da Rua Piauí com a Avenida Maripá, no centro...",https://www.opresente.com.br/marechal-candido-rondon/acidente-deixa-motociclista-ferida-no-centro-de-marechal-rondon-2/
Homem fica ferido em acidente em rotatória rondonense,Um acidente de trânsito foi registrado por volta das 09h35 desta terça-feira (20) na rotatória de cruzamento da Avenida Rio Grande do Sul com a Avenida...,https://www.opresente.com.br/marechal-candido-rondon/homem-fica-ferido-em-acidente-em-rotatoria-rondonense/
Acidente é registrado em rotatória no centro de Marechal Rondon,"Um acidente de trânsito foi registrado nesta sexta-feira (16) por volta dás 19h, evolvendo uma motoneta Honda/Biz e um utilitário GM/Montana, bem no centro de Marechal...",https://www.opresente.com.br/marechal-candido-rondon/acidente-e-registrado-em-rotatoria-no-centro-de-marechal-rondon/
Acidente deixa motociclista ferido em Marechal Rondon,"Uma motocicleta CG e um veículo C4 se envolveram em um acidente nesta sexta-feira (09), por volta das 12 horas, em Marechal Cândido Rondon. O condutor...",https://www.opresente.com.br/marechal-candido-rondon/acidente-deixa-motociclista-ferido-em-marechal-rondon/
Mulher fica ferida em acidente na PRC-467 em Marechal Rondon,"Uma mulher ficou ferida em um acidente registrado na tarde desta sexta-feira (02) na PRC-467 em Marechal Cândido Rondon, próximo à sede do Batalhão de Polícia...",https://www.opresente.com.br/marechal-candido-rondon/mulher-fica-ferida-em-acidente-na-prc-467-em-marechal-rondon/
Acidente com capotamento é registrado no centro de Marechal Rondon,"Um acidente de trânsito foi registrado no centro de Marechal Cândido Rondon, nesta terça-feira (30), por volta das 17h45, no cruzamento das ruas Sete de Setembro...",https://www.opresente.com.br/marechal-candido-rondon/acidente-com-capotamento-e-registrado-no-centro-de-marechal-rondon/
Trabalhador sofre queimaduras e é transferido de helicóptero de Marechal para hospital na região,"Na manhã de terça-feira (10), a equipe do Serviço de Atendimento Móvel de Urgência (SAMU) foi acionada para atender uma vítima que sofreu um acidente de...",https://www.opresente.com.br/marechal-candido-rondon/trabalhador-sofre-queimaduras-e-e-transferido-de-helicoptero-de-marechal-para-hospital-na-regiao/
CIPA promove ação alusiva ao agosto lilás,"A Comissão Interna de Prevenção de Acidentes da Cooperativa Agroindustrial da Copagril promoveu nesta quinta-feira (29), uma ação alusiva à campanha do agosto Lilás, que é...",https://www.opresente.com.br/marechal-candido-rondon/cipa-promove-acao-alusiva-ao-agosto-lilas/
"“Em todos os lugares que andou ele impactou vidas”, destaca filha de Edilson Hobold","Professor foi vítima do acidente avião que caiu em Vinhedos, interior de SP",https://www.opresente.com.br/marechal-candido-rondon/em-todos-os-lugares-que-andou-ele-impactou-vidas-destaca-filha-de-edilson-hobold/
Homem alcoolizado atinge pai e filho de moto e sai sem prestar socorro em Marechal Rondon,Criança foi conduzida à UPA,https://www.opresente.com.br/policial/homem-alcoolizado-atinge-pai-e-filho-de-moto-e-sai-sem-prestar-socorro-em-marechal-rondon/
"Sensei Edilson Hobold estava a caminho do Campeonato Brasileiro Sub-21, na Bahia","Entre as vítimas do acidente aéreo do voo 2283, avião PS – VPB, está o sensei Edilson Hobold, de 52 anos. Edilson estava a caminho do...",https://www.opresente.com.br/marechal-candido-rondon/sensei-edilson-hobold-estava-a-caminho-do-campeonato-brasileiro-sub-21-na-bahia/
"Falece Ciro Damke, professor aposentado da Unioeste e ex-morador de Marechal Rondon",Velório e sepultamento serão em Missal,https://www.opresente.com.br/municipios/falece-ciro-damke-professor-aposentado-da-unioeste-e-ex-morador-de-marechal-rondon/
Veículo é localizado acidentado na rodovia entre Nova Santa Rosa e Marechal Rondon,Não há maiores detalhes sobre a ocorrência e também sobre feridos,https://www.opresente.com.br/municipios/veiculo-e-localizado-acidentado-na-rodovia-entre-nova-santa-rosa-e-marechal-rondon/
"Policial, esposa e cão da PM são atropelados em Marechal Rondon; Motorista foi preso","Um atropelamento deixou um policial militar, sua esposa e um cão da Polícia Militar feridos, na noite de quarta-feira (17), em Marechal Cândido Rondon. O condutor...",https://www.opresente.com.br/policial/policial-esposa-e-cao-da-pm-sao-atropelados-em-marechal-rondon-motorista-foi-preso/
Mobilidade realiza vistoria obrigatória de táxis em Marechal Rondon,"Procedimento é fundamental para a segurança dos prestadores de serviços e dos clientes, além da qualidade e da conformidade dos veículos",https://www.opresente.com.br/marechal-candido-rondon/mobilidade-realiza-vistoria-obrigatoria-de-taxis-em-marechal-rondon/
Marcio Cerny é transferido para Toledo para fazer cirurgia,Ele teve duas fraturas na perna,https://www.opresente.com.br/marechal-candido-rondon/marcio-cerny-e-transferido-para-toledo-para-fazer-cirurgia/
Inaugurada obra de R$ 2 milhões do Corpo de Bombeiros em Marechal Rondon; veja fotos,Quartel também recebeu uma nova ambulância,https://www.opresente.com.br/marechal-candido-rondon/inaugurada-obra-de-r-2-milhoes-do-corpo-de-bombeiros-em-marechal-rondon-veja-fotos/
Colisão entre veículos faz vítima com ferimentos em Marechal Rondon,Acidente ocorreu durante a noite,https://www.opresente.com.br/marechal-candido-rondon/colisao-entre-veiculos-faz-vitima-com-ferimentos-em-marechal-rondon/
Autoridades vistoriam nova sede do Corpo de Bombeiros em Marechal Rondon,"As obras receberam investimentos superiores a R$ 1,5 milhão provenientes de recursos próprios da administração municipal",https://www.opresente.com.br/marechal-candido-rondon/autoridades-vistoriam-nova-sede-do-corpo-de-bombeiros-em-marechal-rondon/
Animais soltos pelas ruas motiva alerta da Fiscalização de Posturas,Cuidados essenciais são indicados com o objetivo de evitar incidentes envolvendo terceiros,https://www.opresente.com.br/marechal-candido-rondon/animais-soltos-pelas-ruas-motiva-alerta-da-fiscalizacao-de-posturas/
Campanha Maio Amarelo tem ações em Marechal Rondon,Objetivo é promover a conscientização pela segurança no trânsito,https://www.opresente.com.br/marechal-candido-rondon/campanha-maio-amarelo-tem-acoes-em-marechal-rondon/
"Depois de quase quatro meses, corpo de rondonense é liberado para sepultamento","Será sepultado neste sábado (04), no cemitério de Novo Horizonte, Marechal Cândido Rondon, o corpo de Arno Pedro Eberhardt, de 78 anos. Ele foi vítima de...",https://www.opresente.com.br/marechal-candido-rondon/depois-de-quase-quatro-meses-corpo-de-rondonense-e-liberado-para-sepultamento/
Homem fica ferido após caminhão tombar na PRC-467 em Marechal Rondon,"Um acidente de trânsito foi registrado no domingo (28), em Marechal Cândido Rondon, e deixou uma pessoa ferida. Um caminhão Volvo/ FH 500, placas de Marechal...",https://www.opresente.com.br/marechal-candido-rondon/homem-fica-ferido-apos-caminhao-tombar-na-prc-467-em-marechal-rondon/
Acimacar promove treinamento sobre Segurança no Trabalho em Altura,"A Norma Regulamentadora 35, ou apenas NR 35, garante a segurança e a saúde dos trabalhadores envolvidos direta ou indiretamente com trabalhos em altura. São considerados...",https://www.opresente.com.br/marechal-candido-rondon/acimacar-promove-treinamento-sobre-seguranca-no-trabalho-em-altura-3/
